t risk
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
1.000000000000000000e+00 1.333883571624755859e+01
